走向,zou3 xiang4
异乡,yi4 xiang1
异香,yi4 xiang1
异体,yi4 ti3
生长,sheng1 zhang3
生铁,sheng1 tie3
生锈,sheng1 xiu4
异龙,yi4 long2
生还,sheng1 huan2
割让,ge1 rang4
割裂,ge1 lie4
生达,Sheng1 da2
生造,sheng1 zao4
开篇,kai1 pian1
生辰,sheng1 chen2
生辉,sheng1 hui1
生路,sheng1 lu4
开绽,kai1 zhan4
生财,sheng1 cai2
割草,ge1 cao3
当上,dang1 shang5
生词,sheng1 ci2
生计,sheng1 ji4
当下,dang1 xia4
生姜,sheng1 jiang1
生菜,sheng1 cai4
生苔,sheng1 tai2
当世,dang1 shi4
当中,dang1 zhong1
当事,dang1 shi4
生育,sheng1 yu4
当事,dang4 shi4
生肖,sheng1 xiao4
生肉,sheng1 rou4
当今,dang1 jin1
当代,dang1 dai4
生丝,sheng1 si1
当令,dang1 ling4
生粉,sheng1 fen3
当作,dang4 zuo4
当做,dang4 zuo4
当儿,dang1 r5
生米,sheng1 mi3
生硬,sheng1 ying4
当兵,dang1 bing1
当初,dang1 chu1
生皮,sheng1 pi2
生发,sheng1 fa1
生病,sheng1 bing4
生疼,sheng1 teng2
生疏,sheng1 shu1
生番,sheng1 fan1
生畏,sheng1 wei4
当前,dang1 qian2
当即,dang1 ji2
当啷,dang1 lang1
当地,dang1 di4
当场,dang1 chang3
当夜,dang4 ye4
当天,dang4 tian1
当家,dang1 jia1
当局,dang1 ju2
当年,dang1 nian2
当心,dang1 xin1
当成,dang4 cheng2
当政,dang1 zheng4
当日,dang4 ri4
当时,dang1 shi2
当晚,dang4 wan3
当月,dang4 yue4
生产,sheng1 chan3
当机,dang4 ji1
当权,dang1 quan2
当归,dang1 gui1
当涂,Dang1 tu2
当然,dang1 ran2
生理,sheng1 li3
生猛,sheng1 meng3
当班,dang1 ban1
当当,Dang1 dang1
当当,dang4 dang4
当真,dang1 zhen1
当众,dang1 zhong4
当红,dang1 hong2
当铺,dang4 pu4
当着,dang1 zhe5
当街,dang1 jie1
当道,dang1 dao4
当选,dang1 xuan3
当量,dang1 liang4
当阳,Dang1 yang2
当雄,Dang1 xiong2
当面,dang1 mian4
当驾,dang1 jia4
开线,kai1 xian4
割线,ge1 xian4
畸型,ji1 xing2
畸形,ji1 xing2
畸态,ji1 tai4
畸胎,ji1 tai1
畸变,ji1 bian4
畸零,ji1 ling2
割礼,ge1 li3
畹町,Wan3 ding1
割弃,ge1 qi4
割断,ge1 duan4
割据,ge1 ju4
割接,ge1 jie1
割舍,ge1 she3
割取,ge1 qu3
疆土,jiang1 tu3
疆域,jiang1 yu4
疆场,jiang1 chang3
疆界,jiang1 jie4
开县,Kai1 xian4
割包,gua4 bao1
割伤,ge1 shang1
叠加,die2 jia1
叠层,die2 ceng2
叠彩,Die2 cai3
叠纸,die2 zhi3
不要,bu4 yao4
不衰,bu4 shuai1
开罪,kai1 zui4
疍民,dan4 min2
开罗,Kai1 luo2
开胃,kai1 wei4
生物,sheng1 wu4
副食,fu4 shi2
生父,sheng1 fu4
生热,sheng1 re4
疏剪,shu1 jian3
生煎,sheng1 jian1
疏勒,Shu1 le4
生火,sheng1 huo3
生漆,sheng1 qi1
生灭,sheng1 mie4
生源,sheng1 yuan2
生涯,sheng1 ya2
疏失,shu1 shi1
疏导,shu1 dao3
疏忽,shu1 hu5
疏懒,shu1 lan3
疏挖,shu1 wa1
疏放,shu1 fang4
疏散,shu1 san4
疏浚,shu1 jun4
疏淡,shu1 dan4
疏漏,shu1 lou4
疏狂,shu1 kuang2
疏率,shu1 shuai4
疏理,shu1 li3
疏略,shu1 lu:e4
生活,sheng1 huo2
生水,sheng1 shui3
疏疏,shu1 shu1
疏落,shu1 luo4
生气,sheng1 qi4
生母,sheng1 mu3
疏解,shu1 jie3
疏通,shu1 tong1
疏远,shu1 yuan3
疏开,shu1 kai1
疏阔,shu1 kuo4
疏附,Shu1 fu4
疏离,shu1 li2
疏松,shu1 song1
生殖,sheng1 zhi2
开脱,kai1 tuo1
开腔,kai1 qiang1
疑似,yi2 si4
疑凶,yi2 xiong1
生死,sheng1 si3
疑兵,yi2 bing1
疑冰,yi2 bing1
生机,sheng1 ji1
疑问,yi2 wen4
疑团,yi2 tuan2
疑心,yi2 xin1
疑忌,yi2 ji4
疑念,yi2 nian4
疑惑,yi2 huo4
生日,sheng1 ri4
疑虑,yi2 lu:4
生效,sheng1 xiao4
生擒,sheng1 qin2
疑惧,yi2 ju4
生抽,sheng1 chou1
疑案,yi2 an4
生技,sheng1 ji4
生手,sheng1 shou3
疑犯,yi2 fan4
生成,sheng1 cheng2
疑狱,yi2 yu4
疑窦,yi2 dou4
疑义,yi2 yi4
疑阵,yi2 zhen4
疑难,yi2 nan2
疑云,yi2 yun2
疑点,yi2 dian3
开胶,kai1 jiao1
副词,fu4 ci2
生态,sheng1 tai4
副肾,fu4 shen4
副翼,fu4 yi4
开脸,kai1 lian3
生意,sheng1 yi5
生意,sheng1 yi4
疙疸,ge1 da5
生息,sheng1 xi1
生性,sheng1 xing4
生怕,sheng1 pa4
疙瘩,ge1 da5
开台,kai1 tai2
生平,sheng1 ping2
生就,sheng1 jiu4
开船,kai1 chuan2
疝气,shan4 qi4
生存,sheng1 cun2
生字,sheng1 zi4
生子,sheng1 zi3
开花,kai1 hua1
生境,sheng1 jing4
生土,sheng1 tu3
开苞,kai1 bao1
生啤,sheng1 pi2
生员,sheng1 yuan2
疣状,you2 zhuang4
疣猪,you2 zhu1
疣赘,you2 zhui4
开荒,kai1 huang1
疤痕,ba1 hen2
开荤,kai1 hun1
疥疮,jie4 chuang1
副相,fu4 xiang4
开药,kai1 yao4
疫区,yi4 qu1
疫情,yi4 qing2
疫病,yi4 bing4
生命,sheng1 ming4
疫苗,yi4 miao2
生厌,sheng1 yan4
开衩,kai1 cha4
疲乏,pi2 fa2
疲倦,pi2 juan4
疲劳,pi2 lao2
生化,sheng1 hua4
生动,sheng1 dong4
生前,sheng1 qian2
生出,sheng1 chu1
生冷,sheng1 leng3
疲匮,pi2 kui4
生光,sheng1 guang1
生僻,sheng1 pi4
生来,sheng1 lai2
生人,sheng1 ren2
疲困,pi2 kun4
生下,sheng1 xia4
副理,fu4 li3
开裂,kai1 lie4
甜点,tian2 dian3
疲塌,pi2 ta5
甜食,tian2 shi2
甜头,tian2 tou5
疲弱,pi2 ruo4
甜酸,tian2 suan1
疲惫,pi2 bei4
甜酒,tian2 jiu3
甜豆,tian2 dou4
疲沓,pi2 ta5
疲累,pi2 lei4
疲软,pi2 ruan3
甜言,tian2 yan2
开襟,kai1 jin1
甜蜜,tian2 mi4
甜菜,tian2 cai4
副歌,fu4 ge1
甜菊,tian2 ju2
甜腻,tian2 ni4
甜美,tian2 mei3
甜筒,tian2 tong3
甜睡,tian2 shui4
开解,kai1 jie3
甜瓜,tian2 gua1
甜润,tian2 run4
副业,fu4 ye4
甜橙,tian2 cheng2
甜心,tian2 xin1
甜品,tian2 pin3
开言,kai1 yan2
甜味,tian2 wei4
副本,fu4 ben3
开设,kai1 she4
疹子,zhen3 zi5
开诚,kai1 cheng2
疼惜,teng2 xi1
疼爱,teng2 ai4
疼死,teng2 si3
甚么,shen2 me5
疼痛,teng2 tong4
甚钜,shen4 ju4
副手,fu4 shou3
甚至,shen4 zhi4
甚而,shen4 er2
甚为,shen4 wei2
甚浓,shen4 nong2
甚或,shen4 huo4
开课,kai1 ke4
甚微,shen4 wei1
甚巨,shen4 ju4
疾书,ji2 shu1
甚且,shen4 qie3
开讲,kai1 jiang3
副将,fu4 jiang4
副室,fu4 shi4
甘愿,gan1 yuan4
疾步,ji2 bu4
疾病,ji2 bing4
疾苦,ji2 ku3
甘谷,Gan1 gu3
疾走,ji2 zou3
疾速,ji2 su4
甘蓝,gan1 lan2
甘薯,gan1 shu3
甘蔗,gan1 zhe5
甘菊,gan1 ju2
甘草,gan1 cao3
甘苦,gan1 ku3
疾风,ji2 feng1
甘肃,Gan1 su4
疾首,ji2 shou3
甘甜,gan1 tian2
疾驰,ji2 chi2
甘洛,Gan1 luo4
开议,kai1 yi4
甘泉,Gan1 quan2
开账,kai1 zhang4
开赛,kai1 sai4
痂皮,jia1 pi2
副刊,fu4 kan1
甘油,gan1 you2
甘汞,gan1 gong3
开走,kai1 zou3
病人,bing4 ren2
甘于,gan1 yu2
病例,bing4 li4
病倒,bing4 dao3
病假,bing4 jia4
甘心,gan1 xin1
病势,bing4 shi4
甘德,Gan1 de2
病危,bing4 wei1
病原,bing4 yuan2
甘州,Gan1 zhou1
病友,bing4 you3
病句,bing4 ju4
病史,bing4 shi3
甘孜,Gan1 zi1
甘地,Gan1 di4
病员,bing4 yuan2
病因,bing4 yin1
甘味,gan1 wei4
病夫,bing4 fu1
病媒,bing4 mei2
病室,bing4 shi4
甘南,Gan1 nan2
病害,bing4 hai4
病家,bing4 jia1
病容,bing4 rong2
开赴,kai1 fu4
开路,kai1 lu4
开车,kai1 che1
点球,dian3 qiu2
瓮菜,weng4 cai4
病床,bing4 chuang2
病征,bing4 zheng1
瓮棺,weng4 guan1
病患,bing4 huan4
瓮安,Weng4 an1
瓮城,weng4 cheng2
病情,bing4 qing2
病态,bing4 tai4
不行,bu4 xing2
开办,kai1 ban4
剪除,jian3 chu2
剪辑,jian3 ji2
开通,kai1 tong5
开道,kai1 dao4
剪裁,jian3 cai2
开远,Kai1 yuan3
开释,kai1 shi4
病房,bing4 fang2
瓯海,Ou1 hai3
剪䌽,jian3 cai3
剪纸,jian3 zhi3
剪枝,jian3 zhi1
剪断,jian3 duan4
甄陶,zhen1 tao2
甄录,zhen1 lu4
甄选,zhen1 xuan3
甄试,zhen1 shi4
甄藻,zhen1 zao3
甄综,zhen1 zong1
甄用,zhen1 yong4
甄汰,zhen1 tai4
甄拔,zhen1 ba2
甄审,zhen1 shen3
病故,bing4 gu4
甄别,zhen1 bie2
剪接,jian3 jie1
剪掉,jian3 diao4
剪成,jian3 cheng2
开金,kai1 jin1
剪径,jian3 jing4
剪影,jian3 ying3
瓼,li3 wa3
剪彩,jian3 cai3
瓸,bai3 wa3
瓷釉,ci2 you4
瓷砖,ci2 zhuan1
瓷瓶,ci2 ping2
瓷器,ci2 qi4
剪子,jian3 zi5
病株,bing4 zhu1
瓶颈,ping2 jing3
瓶领,ping2 ling3
瓶装,ping2 zhuang1
瓶胚,ping2 pei1
瓶盂,ping2 yu2
瓶子,ping2 zi5
病根,bing4 gen1
瓶塞,ping2 sai1
剪报,jian3 bao4
剪力,jian3 li4
开销,kai1 xiao1
瓱,hao2 wa3
瓰,fen1 wa3
开锅,kai1 guo1
剪切,jian3 qie1
瓩,qian1 wa3
瓧,shi2 wa3
瓦隆,Wa3 long1
病案,bing4 an4
病榻,bing4 ta4
病机,bing4 ji1
病历,bing4 li4
瓦解,wa3 jie3
病死,bing4 si3
病毒,bing4 du2
病况,bing4 kuang4
病源,bing4 yuan2
病灶,bing4 zao4
病状,bing4 zhuang4
病理,bing4 li3
瓦砾,wa3 li4
瓦砚,wa3 yan4
瓦当,wa3 dang1
瓦特,wa3 te4
瓦片,wa3 pian4
病症,bing4 zheng4
病痛,bing4 tong4
病愈,bing4 yu4
病程,bing4 cheng2
病笃,bing4 du3
病者,bing4 zhe3
瓦楞,wa3 leng2
病脉,bing4 mai4
瓦斯,wa3 si1
病菌,bing4 jun1
病号,bing4 hao4
病虫,bing4 chong2
病变,bing4 bian4
瓦工,wa3 gong1
瓦城,Wa3 cheng2
瓦器,wa3 qi4
病象,bing4 xiang4
瓦匠,wa3 jiang5
病逝,bing4 shi4
病邪,bing4 xie2
病重,bing4 zhong4
瓦利,Wa3 li4
开锁,kai1 suo3
瓤儿,rang2 r5
剪刀,jian3 dao1
病院,bing4 yuan4
瓣膜,ban4 mo2
不虞,bu4 yu2
瓢虫,piao2 chong2
病魔,bing4 mo2
点画,dian3 hua4
瓢泼,piao2 po1
开镰,kai1 lian2
开锣,kai1 luo2
开钻,kai1 zuan1
症候,zheng4 hou4
症状,zheng4 zhuang4
症象,zheng4 xiang4
开凿,kai1 zao2
痊愈,quan2 yu4
剩余,sheng4 yu2
剩饭,sheng4 fan4
瓜农,gua1 nong2
瓜蒂,gua1 di4
瓜葛,gua1 ge2
瓜菜,gua1 cai4
瓜脐,gua1 qi2
剩钱,sheng4 qian2
剩菜,sheng4 cai4
剩磁,sheng4 ci2
剩女,sheng4 nu:3
瓜果,gua1 guo3
痔疮,zhi4 chuang1
剩下,sheng4 xia4
痕迹,hen2 ji4
魍魉,wang3 liang3
瓜州,Gua1 zhou1
一路,yi1 lu4
瓜子,gua1 zi3
痘痂,dou4 jia1
瓜分,gua1 fen1
瓜代,gua1 dai4
一起,yi1 qi3
不着,bu4 zhao2
点发,dian3 fa1
魏国,Wei4 guo2
魏巍,Wei4 Wei1
璎珞,ying1 luo4
剥离,bo1 li2
剥蚀,bo1 shi2
剥落,bo1 luo4
琼脂,qiong2 zhi1
痘痕,dou4 hen2
琼结,Qiong2 jie2
琼筵,qiong2 yan2
琼瑶,Qiong2 Yao2
琼瑛,qiong2 ying1
痘瘢,dou4 ban1
痘疱,dou4 pao4
琼海,Qiong2 hai3
痘苗,dou4 miao2
开门,kai1 men2
琼斯,Qiong2 si1
痉挛,jing4 luan2
琼州,Qiong2 zhou1
琼崖,Qiong2 ya2
剥皮,bo1 pi2
剥皮,bao1 pi2
琼山,Qiong2 shan1
痛哭,tong4 ku1
痛心,tong4 xin1
琼中,Qiong2 zhong1
开间,kai1 jian1
剥掉,bo1 diao4
剥夺,bo1 duo2
剥啄,bo1 zhuo2
开阔,kai1 kuo4
玺印,xi3 yin4
开关,kai1 guan1
剥削,bo1 xue1
魏征,Wei4 Zheng1
不菲,bu4 fei3
不若,bu4 ruo4
开辟,kai1 pi4
环顾,huan2 gu4
环面,huan2 mian4
环游,huan2 you2
环路,huan2 lu4
环评,huan2 ping2
痛快,tong4 kuai4
环卫,huan2 wei4
环肌,huan2 ji1
痛恨,tong4 hen4
环翠,Huan2 cui4
环绕,huan2 rao4
环县,Huan2 xian4
环线,huan2 xian4
痛惜,tong4 xi1
痛感,tong4 gan3
环节,huan2 jie2
环箍,huan2 gu1
痛打,tong4 da3
痛批,tong4 pi1
痛斥,tong4 chi4
痛楚,tong4 chu3
痛痒,tong4 yang3
痛砭,tong4 bian1
环球,huan2 qiu2
痛经,tong4 jing1
环状,huan2 zhuang4
痛骂,tong4 ma4
环烃,huan2 ting1
痛苦,tong4 ku3
痛处,tong4 chu4
痛风,tong4 feng1
环法,huan2 fa3
痛饮,tong4 yin3
刚体,gang1 ti3
环江,Huan2 jiang1
刚才,gang1 cai2
痞子,pi3 zi5
刚直,gang1 zhi2
环抱,huan2 bao4
刚玉,gang1 yu4
刚烈,gang1 lie4
痢疾,li4 ji5
刚毛,gang1 mao2
开除,kai1 chu2
环形,huan2 xing2
环幕,huan2 mu4
环岛,huan2 dao3
痤疮,cuo2 chuang1
刚毅,gang1 yi4
痦子,wu4 zi5
开阳,Kai1 yang2
刚正,gang1 zheng4
开集,kai1 ji2
刚架,gang1 jia4
开霁,kai1 ji4
痰液,tan2 ye4
痰盂,tan2 yu2
开革,kai1 ge2
痱子,fei4 zi5
刚果,Gang1 guo3
环境,huan2 jing4
环城,huan2 cheng2
环围,huan2 wei2
环化,huan2 hua4
痲疹,ma2 zhen3
痲痹,ma2 bi4
刚才,gang1 cai2
开头,kai1 tou2
痴心,chi1 xin1
痴想,chi1 xiang3
痴呆,chi1 dai1
痴笑,chi1 xiao4
痴迷,chi1 mi2
环保,huan2 bao3
环住,huan2 zhu4
刚愎,gang1 bi4
刚性,gang1 xing4
刚强,gang1 qiang2
刚度,gang1 du4
刚巧,gang1 qiao3
开颜,kai1 yan2
刚察,Gang1 cha2
璨美,can4 mei3
璨璨,can4 can4
璨玉,can4 yu4
刚好,gang1 hao3
璧还,bi4 huan2
璧谢,bi4 xie4
璧玉,bi4 yu4
痴醉,chi1 zui4
璧山,Bi4 shan1
刚劲,gang1 jing4
痴长,chi1 zhang3
刚刚,gang1 gang5
刚健,gang1 jian4
刚一,gang1 yi1
不苟,bu4 gou3
魏收,Wei4 Shou1
不良,bu4 liang2
魏晋,Wei4 Jin4
剖面,pou1 mian4
剖辩,pou1 bian4
开饭,kai1 fan4
剖解,pou1 jie3
开鲁,Kai1 lu3
剖视,pou1 shi4
开斋,kai1 zhai1
魏书,Wei4 shu1
不兴,bu4 xing1
不致,bu4 zhi4
剖腹,pou1 fu4
魏玛,Wei4 ma3
剖白,pou1 bai2
剖析,pou1 xi1
闰年,run4 nian2
闰月,run4 yue4
璀错,cui3 cuo4
痴騃,chi1 ai2
璀璨,cui3 can4
璀璀,cui3 cui3
魏县,Wei4 xian4
魏都,Wei4 du1
剔除,ti1 chu2
剔牙,ti1 ya2
一贯,yi1 guan4
魑魅,chi1 mei4
